artist,title,art
Rolando Simmons,Yuo're Life,/assets/discog/yuorelife.jpg
Brave Timbers,Hope,/assets/discog/brave_timbers.jpg
Dextro,In the Crossing,/assets/discog/dextro.jpg
Echaskech,Certainty of Tides,/assets/discog/echaskech.jpg
Gymnast,Wild Fleet,/assets/discog/gymnast.jpg
Jim Ghedi,"Home is Where I Exist, Now to Live and Die",/assets/discog/jim_ghedi.jpg
Last Harbour,Caul,/assets/discog/last_harbour.jpg
Monster Ceilidh Band,Charge,/assets/discog/mcb.jpg
Miaoux Miaoux,Light of the North,/assets/discog/miaoux.jpg
Mint,The Metronomical Boy,/assets/discog/mint.jpg
Mosaik,Aerials,/assets/discog/mosaik.jpg
Ochre,National Ignition,/assets/discog/ochre.jpg
Olan Mill,Half Seas Over,/assets/discog/olan_mill.jpg
Planet Boelex,Moments,/assets/discog/planet_boelex.jpg
"Poke-1,170",Cryptochrome,/assets/discog/poke.jpg
Toby Hay,Rhayader EP,/assets/discog/toby_hay.jpg
Twin Beam,We Can Win,/assets/discog/twin_beam.jpg
One on Twoism,Volume 6,/assets/discog/twoism.jpg
Tomorrow We Sail,For Those Who Caught the Sun in Flight,/assets/discog/tws.jpg
Zabutom,Redux34,/assets/discog/zabutom.jpg
